,surfaceome_genes
0,SULT1A1
1,UBASH3B
2,SRD5A3
3,SULT2A1
4,SRD5A2
5,SULT1E1
6,CYP21A2
7,SRD5A1
8,HTR3E
9,COL6A6
10,COL6A5
11,CCL3L1
12,KLRF2
13,HLA-A
14,HLA-B
15,HLA-C
16,IFNA1
17,ERVH48-1
18,FZD9
19,CCL24
20,LGALS9
21,TNFRSF10A
22,CORT
23,BMPR1B
24,SIRPB1
25,AGRP
26,LEFTY2
27,TULP1
28,TNFRSF11B
29,CCRL2
30,GFRA2
31,AGRN
32,DLL1
33,CXCR6
34,RNASET2
35,CCL21
36,ACKR2
37,PODXL
38,CCL22
39,WNT7A
40,NRG2
41,CXCL11
42,PTGES
43,HSD17B6
44,TNFRSF10B
45,NRP1
46,TNFSF11
47,MSTN
48,TNFRSF10C
49,TNFRSF13B
50,WNT9A
51,WNT9B
52,NCR3
53,EREG
54,PLXNB2
55,SEMA3E
56,ANGPT2
57,MUSK
58,EPHB6
59,GPR37
60,CCL25
61,CCL16
62,FGF10
63,CYP27B1
64,PLXNB1
65,MLNR
66,DHH
67,TNFSF12
68,GNRH2
69,TNFSF14
70,GALR2
71,HCRT
72,HCRTR1
73,HCRTR2
74,TYROBP
75,VEGFD
76,EFNA2
77,CXCL13
78,FGF17
79,FZD6
80,GDF9
81,NRP2
82,DSCAM
83,PLXNC1
84,CUBN
85,PSPN
86,GFRA3
87,GALR3
88,GPR37L1
89,RAMP1
90,RAMP2
91,RAMP3
92,PLXNA2
93,FZD7
94,SLIT1
95,LRP4
96,ICOSLG
97,LRP5
98,SEMA7A
99,NR1I2
100,LGR5
101,TNFRSF21
102,ITGA10
103,LRP6
104,LEFTY1
105,ATP6AP2
106,TNFSF13
107,ALDH1A2
108,SLIT2
109,DKK1
110,S1PR2
111,TNFSF15
112,UNC5C
113,IL18RAP
114,HTR3B
115,GDF11
116,BMP10
117,UTS2
118,TNFRSF6B
119,ABCA1
120,NTN1
121,CXCL14
122,CRTAM
123,FGF19
124,IL33
125,GPR75
126,CER1
127,GLP2R
128,CD160
129,BMP15
130,WNT11
131,ALDH1A1
132,EGFR
133,F2
134,F10
135,PLG
136,PLAU
137,REN
138,AGT
139,C3
140,C5
141,KNG1
142,PDGFB
143,EGF
144,TGFA
145,TGFB1
146,NGF
147,GNRH1
148,NPPA
149,OXT
150,AVP
151,POMC
152,PENK
153,PDYN
154,CGA
155,TSHB
156,FSHB
157,LHB
158,PRL
159,GH1
160,GH2
161,CALCA
162,TG
163,PTH
164,GCG
165,VIP
166,GHRH
167,INS
168,IGF2
169,GAST
170,LTA
171,TNF
172,IFNA2
173,IFNA10
174,IFNA7
175,IFNA21
176,IFNA5
177,IFNA14
178,IFNA17
179,IFNB1
180,IFNG
181,IL1A
182,IL1B
183,EPO
184,IL2RA
185,CD8A
186,COL1A1
187,COL2A1
188,COL3A1
189,COL4A1
190,APOA1
191,APOE
192,APOA2
193,FGA
194,FGB
195,FGG
196,CHRNA1
197,FN1
198,RBP4
199,ALB
200,PPBP
201,PF4
202,CXCL10
203,TFRC
204,TF
205,FTL
206,FTH1
207,ESR1
208,AMH
209,VTN
210,PROC
211,ANXA1
212,PDGFA
213,RLN2
214,APOB
215,CSF2
216,NR3C1
217,THY1
218,CD74
219,VWF
220,ERBB2
221,WNT1
222,NTRK1
223,IFNW1
224,IFNA6
225,IFNA4
226,IFNA16
227,IGF1
228,APP
229,CYP17A1
230,ITGB3
231,ITGB2
232,CYP11A1
233,INHA
234,IL4
235,IL5
236,FGF1
237,IL6
238,ICAM1
239,ITGB1
240,COL5A2
241,INSR
242,LCK
243,CCK
244,PGR
245,CD2
246,CEACAM5
247,FCER2
248,ITGAV
249,CRH
250,TPO
251,THBD
252,P4HB
253,CSF1R
254,GP1BA
255,GRP
256,ADRB2
257,PSAP
258,RET
259,THBS1
260,IGF1R
261,COL1A2
262,NGFR
263,CHRM2
264,CHRM4
265,CD55
266,NR3C2
