,T,T_pval,T_logfoldchanges
0,IL7R,7.475665217198335e-168,5.4122767
2,ETS1,4.572724789278989e-143,3.2243154
4,CD52,2.921639553251478e-129,2.4005046
5,LTB,1.746777247302487e-96,3.3247576
6,IL32,1.9206198028253514e-95,3.2464817
8,CD3D,9.10721926469492e-88,3.3710053
9,GIMAP7,2.380485322314279e-85,3.1138577
11,CD2,4.987532502172476e-81,3.1460633
12,IFITM1,1.2063231361050343e-82,2.5089445
15,CD3G,2.1972836550732344e-73,3.2365026
16,FYB1,6.22615770061571e-73,2.3649356
17,SYNE2,2.6622594775315297e-70,2.2102554
24,TCF7,1.859659074811916e-60,4.0027704
28,SLFN5,7.426097637737056e-59,2.664735
32,LEF1,1.2346413257646002e-52,4.8370056
36,TRAT1,4.194595974981049e-48,3.7075267
40,GIMAP4,1.2618038569529887e-43,2.4775407
41,CAMK4,1.7115491561512515e-42,4.5002146
42,RCAN3,8.976509301931827e-42,3.6976461
43,CD3E,1.490070529092515e-41,3.180749
44,OXNAD1,1.3035649263199282e-40,3.133963
45,SPOCK2,1.8613103569835713e-40,3.1297376
48,BCL11B,7.11071230258791e-39,3.1917992
50,CCR7,2.64451350843016e-37,3.739316
60,ABLIM1,3.3847086864137824e-31,2.2042155
64,EVL,3.7198108365004235e-29,2.2019613
65,MCUB,3.5247961897233283e-28,2.300746
67,TC2N,1.2170417100006102e-27,2.5574145
78,PIK3IP1,4.423813920963723e-25,2.6118107
80,INPP4B,8.320518850673402e-25,2.2228706
81,LINC00861,9.21889387757157e-25,2.5802314
82,GVINP1,1.1534535648135758e-24,2.0501773
85,TBC1D4,8.793741078237252e-24,3.8442664
88,MAL,2.1094961626926355e-23,4.205661
90,DGKA,3.546805946091666e-23,2.48124
91,SNORD89,6.71636447592555e-22,2.0047562
94,CD28,1.8417677771298544e-21,4.1607947
97,GIMAP5,3.872789202576658e-21,2.6777961
98,THEMIS,9.275547264448916e-21,3.4755325
102,DPP4,4.205054081691462e-20,3.9831712
107,TRABD2A,2.189122618045451e-19,3.7129023
110,ITK,2.743151839955756e-19,3.2793047
116,ATP8B2,1.2806653134730042e-18,2.053355
119,CD6,7.039183897939614e-18,3.1510267
120,MAF,1.3755525046140056e-17,2.35785
132,GIMAP1,2.798842730620949e-16,2.5665045
134,SCML4,4.1631984722815173e-16,3.5917506
137,LCK,5.327882751072036e-16,2.108267
146,LRRN3,6.079627557502519e-15,5.678059
149,LAT,6.852637331151899e-15,2.150966
155,FAM102A,1.4768558834503887e-14,3.2099857
156,GZMK,1.94178298646053e-14,2.7620416
161,HIVEP2,3.6887119879537635e-14,2.2532415
163,FLT3LG,4.0763072504977877e-14,3.1655378
165,CD40LG,4.710414539770591e-14,3.9556704
167,PRKCQ-AS1,8.076474966777678e-14,2.103156
168,IPCEF1,1.0300091337778777e-13,2.4418359
178,TNFRSF25,4.179600169900788e-13,2.9497237
182,CD5,6.69924924052367e-13,3.897506
185,GATA3,1.120659532124815e-12,2.5359066
187,GPRIN3,1.9086748521870104e-12,2.069449
188,GPR171,2.232959343169887e-12,2.5363438
194,RETREG1,8.238983618841268e-12,3.2873456
196,PGGHG,9.062264586028012e-12,2.1130476
197,SIRPG,1.2303903319180851e-11,3.9598882
203,NELL2,2.9515473299043e-11,4.54733
206,VSIG1,4.32991181282182e-11,4.268353
210,LINC00402,5.212988661789068e-11,5.486407
220,TNFSF8,1.488906539179496e-10,2.4549878
223,LINC00623,2.6133508832750537e-10,2.061912
225,LINC02446,3.0141980465140586e-10,3.3233845
227,CD27,3.21564275080724e-10,2.2641659
232,ICOS,4.918493755603489e-10,3.9988048
241,TCEA3,8.685261401411477e-10,5.254106
247,GPR15,2.070411022874204e-09,3.461913
249,ANK3,2.3638566951946873e-09,2.3970137
253,PATJ,3.4492538935460795e-09,2.081986
264,CD8B,6.912346326108966e-09,2.4871027
265,TIAM1,7.121769093703036e-09,2.8110757
267,SIT1,7.689671803857945e-09,2.2434263
277,ADTRP,1.9136145286788693e-08,3.506629
278,NEFL,2.01371203322655e-08,5.529794
286,LOC100506985,3.2460760720298275e-08,4.032274
289,RNF157,3.783679101403278e-08,3.2403655
297,ABCD2,4.7381159483958733e-08,2.8589544
304,SLAMF1,6.809542277273886e-08,2.1274254
310,DUSP16,1.1267448553262507e-07,2.588779
315,UBASH3A,1.3247907650073686e-07,3.1024437
323,CHRM3-AS2,2.894264687816417e-07,4.1735854
331,WDR86-AS1,4.990555999305019e-07,5.5520797
334,PKIA,5.42260056605794e-07,2.0178282
343,AP3M2,8.780890274767811e-07,2.0298617
347,GCSAM,9.876072353933868e-07,2.803559
350,TMEM204,1.0248130942003665e-06,3.125261
354,RASGRF2,1.0895126606506014e-06,3.610227
358,TRAF1,1.833054474018269e-06,2.1183064
360,DOCK9,1.9444497595814586e-06,2.6697276
373,AKTIP,3.958964182111697e-06,2.2324195
378,ANKRD55,4.91829103152714e-06,3.6240678
386,FHIT,5.67122542952711e-06,2.5922759
387,TSHZ2,6.253130666693596e-06,2.091674
394,BICDL1,7.492612482074935e-06,3.1615357
404,PLCL1,1.2271634932282684e-05,2.934836
406,GPRASP1,1.3212676721548647e-05,3.5519996
414,LOC101927596,1.8715420895632877e-05,5.0910373
417,SCARNA21,2.0897476751765978e-05,2.3721004
423,FBXL16,2.4395622821846823e-05,3.3784227
433,LINC02273,3.643523327685311e-05,3.6626892
436,PASK,3.874224399543994e-05,2.0244012
439,PLCG1,4.038743168006536e-05,2.0117087
447,ATP6V0E2,4.807659111072018e-05,2.45825
455,LINC01550,6.411676103296704e-05,3.2864914
459,TSPAN18,6.735049748846841e-05,3.511772
468,TTC39B,8.50952367399482e-05,2.23009
470,LRIG1,8.816569263388965e-05,2.6596107
477,CD200R1,0.00011071307913029523,2.2333257
479,FBLN5,0.0001222448634384029,5.322476
484,IGFBP3,0.00014726514478111472,2.4998295
485,APBB1,0.00014773098987021796,2.0146446
491,FAM153A,0.0001673134585752851,4.8967767
502,LINC00892,0.00020782364188732727,3.1658506
506,CTLA4,0.00022407211037534633,3.2930896
509,EPHA4,0.0002590107608038802,2.5502563
519,TTC39C-AS1,0.0003127487320955254,3.6337986
523,IL11RA,0.00034828666779070365,2.395497
543,SNORA12,0.0005914698416706206,2.190943
549,DLG3,0.0006587904524776502,2.1811962
551,LOC728743,0.0007063828202058174,2.0726635
557,HAPLN3,0.000769097167527193,4.202853
560,VIPR1,0.0008410202206380346,5.139006
565,LOC154761,0.0009140801875135988,2.8447082
577,APBA2,0.0011150719241919058,2.5139263
587,ST8SIA1,0.0013124625362489592,2.6098468
588,CCR4,0.0013281265940208046,3.1304438
590,AFAP1,0.0013566590623584765,2.0676131
595,HABP4,0.0014947831215482103,2.1257362
629,MSX2P1,0.0021688031597530103,3.390862
630,LTA,0.0021860146620425185,2.3434556
639,LINC00426,0.002559639594573551,2.0211937
641,CMTM8,0.002619920985966179,3.198634
649,CD8B2,0.0029627026999152215,2.2304084
651,CRIP2,0.003104377889048223,2.174077
661,LINC02361,0.0033459880191862453,2.2903588
666,MID2,0.00358290793609085,2.3796804
673,CLIC5,0.0038042587074448675,2.6276336
675,LINC002481,0.003909203284943927,2.232448
697,DUSP4,0.004969983246986668,2.0954168
698,SCARNA28,0.0050033769009152134,2.1952398
713,KIF5C,0.005941214789110207,2.8774664
728,PTPN13,0.006396692173674257,2.0370476
765,BMPR1A,0.00820158499688805,2.3023689
767,NR3C2,0.008526237247676233,2.336338
771,HAR1A,0.008915758361887629,2.2226808
