,Endothelial cell,Smooth muscle cell
A1BG,1.8370607028753994,13.449654671028718
A1BG-AS1,0.516506922257721,2.435478007997092
A1CF,0.03194888178913738,0.0
A2M,50.660276890308836,72.30098146128681
A2M-AS1,0.28753993610223644,1.5267175572519085
A2ML1,0.07188498402555911,0.03635041802980734
A2ML1-AS1,0.0,0.0
A2ML1-AS2,0.0,0.0
A4GALT,45.343450479233226,14.103962195565249
A4GNT,0.029286474973375932,0.0
AAAS,2.4361022364217253,8.033442384587422
AACS,0.5591054313099042,1.708469647400945
AADAC,0.17838125665601703,0.0
AADACL2,0.0,0.0
AADACL2-AS1,0.0,0.0
AADACL3,0.0,0.0
AADACL4,0.0,0.0
AADAT,0.07987220447284345,1.1632133769538349
AAED1,2.11395101171459,6.761177753544166
AAGAB,2.4361022364217253,3.0897855325336243
AAK1,10.70021299254526,12.758996728462378
AAMDC,10.396698615548456,22.900763358778626
AAMP,10.70021299254526,25.118138858596875
AANAT,0.0026624068157614484,0.03635041802980734
AAR2,3.083067092651757,7.051981097782624
AARD,0.0878594249201278,0.03635041802980734
AARS,1.70926517571885,5.961468556888404
AARS1,2.9712460063897765,4.580152671755725
AARS2,0.7641107561235356,1.0178117048346056
AARSD1,0.5724174653887114,1.6721192293711378
AASDH,2.350905218317359,5.307161032351872
AASDHPPT,4.512779552715655,9.778262450018175
AASS,5.4712460063897765,12.213740458015268
AATBC,0.154419595314164,0.07270083605961468
AATF,4.656549520766773,11.559432933478735
AATK,0.6017039403620873,0.6906579425663395
AATK-AS1,0.0,0.0
AB015752.3,0.0,0.0
AB019440.50,0.0,0.0
AB019441.29,0.013312034078807242,0.14540167211922936
ABALON,0.16773162939297126,0.3998545983278808
ABAT,0.3354632587859425,0.2908033442384587
ABC12-49244600F4.4,0.07987220447284345,0.0
ABC7-42404400C24.1,0.03461128860489883,0.03635041802980734
ABCA1,4.086794462193823,4.761904761904762
ABCA10,0.10649627263045794,0.5089058524173028
ABCA12,0.09850905218317359,0.0
ABCA13,0.03194888178913738,0.0
ABCA2,1.0063897763578276,2.544529262086514
ABCA3,1.6027689030883918,1.8538713195201746
ABCA4,0.058572949946751864,0.2544529262086514
ABCA5,1.3631522896698616,6.2159214830970555
ABCA6,1.104898828541001,1.7811704834605597
ABCA7,0.6762513312034079,0.3998545983278808
ABCA8,1.3099041533546325,2.8353326063249726
ABCA9,0.2369542066027689,0.4362050163576881
ABCA9-AS1,0.005324813631522897,0.0
ABCB1,1.876996805111821,0.3635041802980734
ABCB10,1.038338658146965,2.3264267539076697
ABCB11,0.0,0.0
ABCB4,0.039936102236421724,0.1817520901490367
ABCB5,0.045260915867944625,0.07270083605961468
ABCB6,0.20234291799787008,1.708469647400945
ABCB7,2.2444089456869007,6.28862231915667
ABCB8,1.2619808306709266,3.635041802980734
ABCB9,0.2103301384451544,0.6906579425663395
ABCC1,1.7012779552715656,1.3086150490730644
ABCC10,0.7880724174653887,1.272264631043257
ABCC11,0.0026624068157614484,0.0
ABCC12,0.0,0.0
ABCC2,0.03727369542066028,0.03635041802980734
ABCC3,0.902555910543131,1.054162122864413
ABCC4,3.82321618743344,1.381315885132679
ABCC5,0.8785942492012779,3.1261359505634316
ABCC5-AS1,0.0026624068157614484,0.0
ABCC6,0.2689030883919063,0.2908033442384587
ABCC8,0.8998935037273695,0.3271537622682661
ABCC9,0.9930777422790202,10.505270810614322
